Build,References,Required Qty,Exact BOM Part,JLCPCB/LCSC Part,Original JLCPCB/LCSC Stock 2026-06-18,Selected JLCPCB/LCSC Unit USD,Exact Part Elsewhere,AliExpress Check,Selected Supplier,Selected Part,Selected Qty,Selected Link,Reason
Power,"C1,C4,C7",3,CL10A226MP8NUNE,C86295,146960,0.0302,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10A226MP8NUNE,3,https://www.lcsc.com/product-detail/C86295.html,Exact part stocked; cheapest consolidated basket
Power,"C2,C3",2,CL10A106KP8NNNC,C19702,0,0.0584,https://eu.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A106KP8NNNC?qs=X6jEic%2FHinAlyfRHj7fKwg%3D%3D,"No reliable exact listing found",JLCPCB/LCSC,CC0603MRX5R7BB106 / C109457,2,https://www.lcsc.com/product-detail/C109457.html,"Exact Samsung part is stocked by Mouser; equivalent 10uF 16V X5R 0603 stays in the single JLC/LCSC shipment and is cheaper overall; selected stock 32650"
Power,C5,1,CL10A226MQ8NRNC,C59461,172760,0.0196,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10A226MQ8NRNC,1,https://www.lcsc.com/product-detail/C59461.html,Exact part stocked; cheapest consolidated basket
Power,"C6,C9",2,CL10B104KB8NNNC,C1591,215300,0.0071,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10B104KB8NNNC,2,https://www.lcsc.com/product-detail/C1591.html,Exact part stocked; cheapest consolidated basket
Power,C8,1,CL10B105KA8NNNC,C29936,139550,0.0154,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10B105KA8NNNC,1,https://www.lcsc.com/product-detail/C29936.html,Exact part stocked; combine with calculator C4
Power,F1,1,0603L150SLYR,C207018,2115,0.2143,Not needed,"No reliable exact listing found",JLCPCB/LCSC,0603L150SLYR,1,https://www.lcsc.com/product-detail/C207018.html,Exact safety-critical part stocked
Power,L1,1,CMI201209U1R5KT,C139220,18900,0.0133,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CMI201209U1R5KT,1,https://www.lcsc.com/product-detail/C139220.html,Exact power inductor stocked
Power,LED1,1,XL-1608SURC-06,C965799,7547000,0.0022,Not needed,"Generic lots exist but exact origin is unclear",JLCPCB/LCSC,XL-1608SURC-06,1,https://www.lcsc.com/product-detail/C965799.html,Exact part stocked
Power,R1,1,RMC04021.5K1%N,C269672,7900,0.0013,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,RMC04021.5K1%N,1,https://www.lcsc.com/product-detail/C269672.html,Exact part stocked
Power,R2,1,FRC0603F1004TS,C2907003,858900,0.0013,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,FRC0603F1004TS,1,https://www.lcsc.com/product-detail/C2907003.html,Exact part stocked
Power,R3,1,FRC0603J102 TS,C2907113,5,0.0014,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,FRC0603J102 TS,1,https://www.lcsc.com/product-detail/C2907113.html,Exact part stocked but critically low; verify cart immediately
Power,R4,1,RC0603FR-07180KL,C123419,189600,0.0012,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,RC0603FR-07180KL,1,https://www.lcsc.com/product-detail/C123419.html,Exact part stocked
Power,R5,1,FRC0603J202 TS,C2907137,7673400,0.0010,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,FRC0603J202 TS,1,https://www.lcsc.com/product-detail/C2907137.html,Exact part stocked
Power,R6,1,RC0603FR-0747KL,C105579,0,0.0005,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0747KL/727253,"No reliable exact listing found",JLCPCB/LCSC,SCR0603F47K / C3016374,1,https://www.lcsc.com/product-detail/C3016374.html,"Exact Yageo part is stocked by DigiKey/TME; equivalent 47k 1% 0603 avoids a separate shipment; selected stock 200"
Power,"R7,R10",2,RC0603FR-07100KL,C14675,0,0.0009,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07100KL/726889,"No reliable exact listing found",JLCPCB/LCSC,CR-03FL7--100K / C216797,2,https://www.lcsc.com/product-detail/C216797.html,"Exact Yageo part is stocked by DigiKey/TME; equivalent 100k 1% 0603 avoids a separate shipment; selected stock 19900"
Power,"R8,R9",2,RMC06035.1K1%N,C269716,100,0.0014,Not needed,"Generic resistor kits are not the exact MPN",JLCPCB/LCSC,RMC06035.1K1%N,2,https://www.lcsc.com/product-detail/C269716.html,Exact part stocked; low stock
Power,SW1,1,MINI MSK12CO2,C2681570,81015,0.0886,Not needed,"Similar switches exist but footprint compatibility is uncertain",JLCPCB/LCSC,MINI MSK12CO2,1,https://www.lcsc.com/product-detail/C2681570.html,Exact mechanical part stocked
Power,U1,1,TPS63020DSJT,C544952,241,0.8011,Not needed,"Listings exist but authenticity and exact package are less reliable",JLCPCB/LCSC,TPS63020DSJT,1,https://www.lcsc.com/product-detail/C544952.html,Exact IC stocked
Power,U2,1,BQ24092DGQR,C133237,267,0.4025,Not needed,"Listings exist but authenticity and exact package are less reliable",JLCPCB/LCSC,BQ24092DGQR,1,https://www.lcsc.com/product-detail/C133237.html,Exact charger IC stocked
Power,"U3,U6",2,UCLAMP0571P.TNT,C512387,15455,0.1220,Not needed,"Listings exist but authenticity is less reliable",JLCPCB/LCSC,UCLAMP0571P.TNT,2,https://www.lcsc.com/product-detail/C512387.html,Exact ESD part stocked
Power,U4,1,532610271,C177225,17625,0.0865,Not needed,"Similar PicoBlade connectors exist; exact MPN not reliably identified",JLCPCB/LCSC,532610271,1,https://www.lcsc.com/product-detail/C177225.html,Exact mechanical connector stocked
Power,U5,1,HX TYPE-C 6PIN,C18357552,17770,0.0245,Not needed,"Similar connectors exist but footprint compatibility is uncertain",JLCPCB/LCSC,HX TYPE-C 6PIN,1,https://www.lcsc.com/product-detail/C18357552.html,Exact footprint part stocked
Calculator,"C1,C2,C5",3,GRM31CR60J107ME39L,C77085,41510,0.1853,Not needed,"No reliable exact listing found",JLCPCB/LCSC,GRM31CR60J107ME39L,3,https://www.lcsc.com/product-detail/C77085.html,Exact high-capacitance MLCC stocked
Calculator,C3,1,CL10A226MP8NUNE,C86295,146960,0.0302,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10A226MP8NUNE,1,https://www.lcsc.com/product-detail/C86295.html,Exact part stocked; combine quantity with power module
Calculator,C4,1,CL10B105KA8NNNC,C29936,139550,0.0154,Not needed,"No reliable exact listing found",JLCPCB/LCSC,CL10B105KA8NNNC,1,https://www.lcsc.com/product-detail/C29936.html,Exact part stocked; combine quantity with power module
Calculator,D1-D50,50,"BAS321,115",C24372,479540,0.0094,Not needed,"Generic diode lots exist but exact Nexperia MPN is not assured",JLCPCB/LCSC,"BAS321,115",50,https://www.lcsc.com/product-detail/C24372.html,Exact part stocked and one-source price is lower
Calculator,H3,1,PZ2.54-2X4P-H25,C42431809,2050,0.0187,Not needed,"Generic headers exist but height details may differ",JLCPCB/LCSC,PZ2.54-2X4P-H25,1,https://www.lcsc.com/product-detail/C42431809.html,Exact mechanical part stocked
Calculator,H4,1,HX FH254-01-06-W-H8.5,C50878477,405,0.1096,Not needed,"Generic sockets exist but height details may differ",JLCPCB/LCSC,HX FH254-01-06-W-H8.5,1,https://www.lcsc.com/product-detail/C50878477.html,Exact mechanical part stocked
Calculator,P1,1,Completed custom power module,Not a separate purchase,N/A,0.00,N/A,N/A,Build first,Power module assembled from listed parts,1,SHOPPING_LIST.md,Cost is the sum of power-module components and power-PCB fabrication
Calculator,PAPER1,1,WeAct 2.13-inch B/W 250x122,Non-LCSC,N/A,N/A,N/A,https://es.aliexpress.com/item/1005005183232092.html?mp=1&gatewayAdapt=glo2esp,AliExpress,Select 2.13-inch Black-White variant,1,https://es.aliexpress.com/item/1005005183232092.html?mp=1&gatewayAdapt=glo2esp,User-provided listing; verify the 2.13 B/W variant before checkout
Calculator,"Q1,Q2",2,BC847,C475630,21000,0.0066,Not needed,"Generic BC847 lots exist but exact supplier origin is unclear",JLCPCB/LCSC,BC847,2,https://www.lcsc.com/product-detail/C475630.html,Exact BOM supplier part stocked
Calculator,R11-R19,9,RC0603FR-0710KL,C98220,0,0.0029,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880,"No reliable exact listing found",JLCPCB/LCSC,AC0603FR-0710KL / C116677,9,https://www.lcsc.com/product-detail/C116677.html,"Exact Yageo part is stocked by DigiKey/TME/Arrow; equivalent Yageo 10k 1% 0603 avoids a separate shipment; selected stock 3200"
Calculator,SW1-SW50,50,GT-TZ084B-H015-L1,C29780122,346320,0.0037,Not needed,"Similar key switches exist but exact force/height/footprint is uncertain",JLCPCB/LCSC,GT-TZ084B-H015-L1,50,https://www.lcsc.com/product-detail/C29780122.html,Exact mechanical part stocked
Calculator,U2,1,A-MicroTF-1.85A,C22467599,1860,0.1530,Not needed,"Similar sockets exist but exact footprint compatibility is uncertain",JLCPCB/LCSC,A-MicroTF-1.85A,1,https://www.lcsc.com/product-detail/C22467599.html,Exact socket stocked
Calculator,U5,1,ESP32-S3-WROOM-1-N16R8,C2913202,20792,3.6686,Not needed,"Listings exist but exact N16R8 variant and authenticity must be checked",JLCPCB/LCSC,ESP32-S3-WROOM-1-N16R8,1,https://www.lcsc.com/product-detail/C2913202.html,Exact flash/PSRAM variant stocked
Off-board,Battery,1,3.7V LiPo sized for enclosure,Non-LCSC,N/A,"Confirm selected variant at checkout",N/A,https://es.aliexpress.com/item/1005008721775874.html?mp=1&gatewayAdapt=glo2esp,AliExpress,"Heltec LiPo listing; select capacity that fits",1,https://es.aliexpress.com/item/1005008721775874.html?mp=1&gatewayAdapt=glo2esp,"User-provided listing; verify dimensions connector and polarity against Molex 532610271"
Off-board,Programmer,1,USB-to-TTL FTDI adapter with 3.3V logic,Non-LCSC,N/A,"Confirm selected variant at checkout",N/A,https://es.aliexpress.com/item/1005009171804987.html?mp=1&gatewayAdapt=glo2esp,AliExpress,"FT232RL USB-to-TTL; select USB-C if preferred",1,https://es.aliexpress.com/item/1005009171804987.html?mp=1&gatewayAdapt=glo2esp,"User-provided listing; set logic to 3.3V before connecting ESP32"
PCB,Power board,1 fabricated board,N/A,N/A,"Live Gerber quote required",N/A,N/A,N/A,JLCPCB,Power Gerber v1.5,"5-board minimum typical",https://jlcpcb.com/,Upload power_board/power_board_pcb/power_gerber_v1.5.zip
PCB,Calculator board,1 fabricated board,N/A,N/A,"Live Gerber quote required",N/A,N/A,N/A,JLCPCB,Calculator Gerber v1.5,"5-board minimum typical",https://jlcpcb.com/,Upload calculator_mainboard/calculator_pcb/calculator_gerber_v1.5.zip
